"Klíč";"Hodnota";"Jazyk";"Skupina";"System"
"Import_Utility";"Importovat";"1";"Utility";"False"
"Output_Utility";"Výstup";"1";"Utility";"False"
"ImportString_Utility";"""CSV""";"1";"Utility";"False"
"ImportAsPermission_Utility";"Oprávnění";"1";"Utility";"False"
"ImportAsSegment_Utility";"Segment";"1";"Utility";"False"
"ImportAsHistoryType_Utility";"Typ historie";"1";"Utility";"False"
"ImportAsNotificationGroup_Utility";"Notifikační skupina";"1";"Utility";"False"
"ImportAsNotification_Utility";"Notifikace";"1";"Utility";"False"
"ImportAsCommunication_Utility";"Komunikace";"1";"Utility";"False"
"BasicExport_Utility";"Export";"1";"Utility";"False"
"AnrName_Utility";"Název role";"1";"Utility";"False"
"RoleVisibleType_Utility";"Typ role";"1";"Utility";"False"
"RoleDefaultValue_Utility";"Defaultní hodnota role";"1";"Utility";"False"
"ParentAnrName_Utility";"Rodičovká role";"1";"Utility";"False"
